Group,Representation,Name,Section
Smileys-Emotion,😀,grinning face,E1.0
Smileys-Emotion,😃,grinning face with big eyes,E0.6
Smileys-Emotion,😄,grinning face with smiling eyes,E0.6
Smileys-Emotion,😁,beaming face with smiling eyes,E0.6
Smileys-Emotion,😆,grinning squinting face,E0.6
Smileys-Emotion,😅,grinning face with sweat,E0.6
Smileys-Emotion,🤣,rolling on the floor laughing,E3.0
Smileys-Emotion,😂,face with tears of joy,E0.6
Smileys-Emotion,🙂,slightly smiling face,E1.0
Smileys-Emotion,🙃,upside-down face,E1.0
Smileys-Emotion,🫠,melting face,E14.0
Smileys-Emotion,😉,winking face,E0.6
Smileys-Emotion,😊,smiling face with smiling eyes,E0.6
Smileys-Emotion,😇,smiling face with halo,E1.0
Smileys-Emotion,🥰,smiling face with hearts,E11.0
Smileys-Emotion,😍,smiling face with heart-eyes,E0.6
Smileys-Emotion,🤩,star-struck,E5.0
Smileys-Emotion,😘,face blowing a kiss,E0.6
Smileys-Emotion,😗,kissing face,E1.0
Smileys-Emotion,☺️,smiling face,E0.6
Smileys-Emotion,😚,kissing face with closed eyes,E0.6
Smileys-Emotion,😙,kissing face with smiling eyes,E1.0
Smileys-Emotion,🥲,smiling face with tear,E13.0
Smileys-Emotion,😋,face savoring food,E0.6
Smileys-Emotion,😛,face with tongue,E1.0
Smileys-Emotion,😜,winking face with tongue,E0.6
Smileys-Emotion,🤪,zany face,E5.0
Smileys-Emotion,😝,squinting face with tongue,E0.6
Smileys-Emotion,🤑,money-mouth face,E1.0
Smileys-Emotion,🤗,smiling face with open hands,E1.0
Smileys-Emotion,🤭,face with hand over mouth,E5.0
Smileys-Emotion,🫢,face with open eyes and hand over mouth,E14.0
Smileys-Emotion,🫣,face with peeking eye,E14.0
Smileys-Emotion,🤫,shushing face,E5.0
Smileys-Emotion,🤔,thinking face,E1.0
Smileys-Emotion,🫡,saluting face,E14.0
Smileys-Emotion,🤐,zipper-mouth face,E1.0
Smileys-Emotion,🤨,face with raised eyebrow,E5.0
Smileys-Emotion,😐,neutral face,E0.7
Smileys-Emotion,😑,expressionless face,E1.0
Smileys-Emotion,😶,face without mouth,E1.0
Smileys-Emotion,🫥,dotted line face,E14.0
Smileys-Emotion,😶‍🌫️,face in clouds,E13.1
Smileys-Emotion,😏,smirking face,E0.6
Smileys-Emotion,😒,unamused face,E0.6
Smileys-Emotion,🙄,face with rolling eyes,E1.0
Smileys-Emotion,😬,grimacing face,E1.0
Smileys-Emotion,😮‍💨,face exhaling,E13.1
Smileys-Emotion,🤥,lying face,E3.0
Smileys-Emotion,🫨,shaking face,E15.0
Smileys-Emotion,🙂‍↔️,head shaking horizontally,E15.1
Smileys-Emotion,🙂‍↕️,head shaking vertically,E15.1
Smileys-Emotion,😌,relieved face,E0.6
Smileys-Emotion,😔,pensive face,E0.6
Smileys-Emotion,😪,sleepy face,E0.6
Smileys-Emotion,🤤,drooling face,E3.0
Smileys-Emotion,😴,sleeping face,E1.0
Smileys-Emotion,😷,face with medical mask,E0.6
Smileys-Emotion,🤒,face with thermometer,E1.0
Smileys-Emotion,🤕,face with head-bandage,E1.0
Smileys-Emotion,🤢,nauseated face,E3.0
Smileys-Emotion,🤮,face vomiting,E5.0
Smileys-Emotion,🤧,sneezing face,E3.0
Smileys-Emotion,🥵,hot face,E11.0
Smileys-Emotion,🥶,cold face,E11.0
Smileys-Emotion,🥴,woozy face,E11.0
Smileys-Emotion,😵,face with crossed-out eyes,E0.6
Smileys-Emotion,😵‍💫,face with spiral eyes,E13.1
Smileys-Emotion,🤯,exploding head,E5.0
Smileys-Emotion,🤠,cowboy hat face,E3.0
Smileys-Emotion,🥳,partying face,E11.0
Smileys-Emotion,🥸,disguised face,E13.0
Smileys-Emotion,😎,smiling face with sunglasses,E1.0
Smileys-Emotion,🤓,nerd face,E1.0
